CompanyID;CompanyCode;MonthDescription;BusinessUnit;EffectiveDate;WeekNumberOfEffectiveDate;Planned_Released;FirmWO;PlannedWO;DailyCapacity;WeeklyCapacity;MonthlyCapacity;RequestDate;Rate_Hour;PrimaryUOM_Hour;ShortItemNumber;ItemDescription;WorkOrderQuantity;QuantityOrdered;WorkOrderNo;WOStatus;TypeOfRouting;
1;       11007;March;    07FILL01;03-16-22;12;4 473,53;4 474;0;16 942,50;84712,5;389677,5;03-16-22;2694,8989;96,2464;27801;RN101890;159,77;159,77;1033548;30;M;
2;       11007;March;    07FILL01;03-16-22;12;1 618,41;1 618;0;16 942,50;84712,5;389677,5;03-16-22;346,5537;38,506;27807;RN103885;179,82;179,82;1033549;30;M;
3;       11007;March;    07FILL01;03-16-22;12;6 010,78;6 011;0;16 942,50;84712,5;389677,5;03-16-22;2695,4178;134,7709;27800;RN101889;300,54;300,54;1033551;30;M;
4;       11007;March;    07FILL01;03-17-22;12;10 985,70;10 986;0;16 942,50;84712,5;389677,5;03-17-22;3762,2272;75,2445;27802;RN101899;219,71;219,71;1033553;30;M;
5;       11007;March;    07FILL01;03-17-22;12;1 900,27;1 900;0;16 942,50;84712,5;389677,5;03-17-22;1347,7089;134,7709;27798;RN101886;190,03;190,03;1033554;30;M;
6;       11007;March;    07FILL01;03-17-22;12;1 900,27;1 900;0;16 942,50;84712,5;389677,5;03-17-22;1347,7089;134,7709;27798;RN101886;190,03;190,03;1033557;30;M;
7;       11007;March;    07FILL02;03-18-22;12;249,65;250;0;967,50;4837,5;22252,5;03-18-22;78,7526;15,7505;28538;RU106895;49,93;49,93;1033564;30;M;
8;       11007;March;    07FILL01;03-18-22;12;4 501,35;4 501;0;16 942,50;84712,5;389677,5;03-18-22;2695,4178;134,7709;27800;RN101889;225,07;225,07;1033566;30;M;
9;       11007;March;    07FILL01;03-18-22;12;5 236,81;5 237;0;16 942,50;84712,5;389677,5;03-18-22;3767,4919;107,6426;27797;RN101854;149,62;149,62;1033567;30;M;
10;       11007;March;    07FILL01;03-18-22;12;4 501,35;4 501;0;16 942,50;84712,5;389677,5;03-18-22;2695,4178;134,7709;27800;RN101889;225,07;225,07;1033569;30;M;
11;       11007;March;    07FILL01;03-18-22;12;5 236,81;5 237;0;16 942,50;84712,5;389677,5;03-18-22;3767,4919;107,6426;27797;RN101854;149,62;149,62;1033570;30;M;
12;       11007;March;    07FILL01;03-18-22;12;343,05;343;0;16 942,50;84712,5;389677,5;03-18-22;343,0532;42,8816;19147;BN109884;42,88;42,88;1036166;10;M;
13;       11007;March;    07FILL01;03-18-22;12;9 812,50;9 813;0;16 942,50;84712,5;389677,5;03-18-22;3125;89,2857;28669;SF302853;280,36;280,36;1036883;10;M;
14;       11007;March;    07FILL01;03-18-22;12;500,00;500;0;16 942,50;84712,5;389677,5;03-18-22;3125;89,2857;28669;SF302853;14,29;14,29;1036884;10;M;
15;       11007;March;    07FILL01;03-18-22;12;12 776,28;12 776;0;16 942,50;84712,5;389677,5;03-18-22;2695,4178;134,7709;27800;RN101889;638,81;638,81;1036893;10;M;
